STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/6/2022,89,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/7/2022,86,",,S",72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/8/2022,82,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/9/2022,81,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/10/2022,85,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/11/2022,87,",,S",72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/12/2022,87,",,S",73,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/13/2022,87,",,S",73,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/14/2022,85,",,S",73,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/15/2022,80,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/16/2022,90,",,S",72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/17/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/18/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/19/2022,91,",,S",72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/20/2022,87,",,S",72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/21/2022,89,",,S",74,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/22/2022,89,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/23/2022,90,",,S",72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/24/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/25/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/26/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/27/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/28/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/29/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/30/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/31/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/1/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/2/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/3/2022,93,",,S",76,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/4/2022,93,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/5/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/6/2022,93,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/7/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/8/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/9/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/10/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/11/2022,83,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/12/2022,84,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/13/2022,84,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/14/2022,85,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/15/2022,85,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/16/2022,86,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/17/2022,86,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/18/2022,89,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/19/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,9/20/2022,87,",,S",,
